Number,Test Case/Test Scenario,Expected Output,Actual Output,Test Result
1,"start(){
    piece of a = 5, b = 3;
    bill(tochars((a*a + b*b) > 30));
}",No Syntax Error,No Syntax Error,TRUE
2,"start(){
    piece of x = 4, y = 9;
    x = x + y;
    y = x - y;
    x = x - y;
    bill(tochars(x) + "" "" + tochars(y));
}",No Syntax Error,No Syntax Error,TRUE
3,"start(){
    piece of n = 12345, c = 0;
    repeat(n != 0){
        c += 1;
        n /= 10;
    }
    bill(tochars(c));
}",No Syntax Error,No Syntax Error,TRUE
4,"table of P = [
    piece of x;
    piece of y;
];
start(){
    P of p = [x = 3; y = 7;];
    bill(tochars(p:x + p:y));
}",No Syntax Error,No Syntax Error,TRUE
5,"start(){
    piece of n = 123, r = 0;
    repeat(n != 0){
        r = r * 10 + n % 10;
        n /= 10;
    }
    bill(tochars(r));
}",No Syntax Error,No Syntax Error,TRUE
6,"start(){
    piece of n = 11;
    check(n % 2 != 0){
        bill(""odd"");
    } instead {
        bill(""even"");
    }
}",No Syntax Error,No Syntax Error,TRUE
7,"start(){
    piece of a = 3, b = 9, c = 6, m;
    check(a > b){
        check(a > c){ m = a; } instead { m = c; }
    } instead {
        check(b > c){ m = b; } instead { m = c; }
    }
    bill(tochars(m));
}",No Syntax Error,No Syntax Error,TRUE
8,"table of S = [ piece of v; ];
start(){
    S[] of s = [
        [v = 1;], 
        [v = 2;], 
        [v = 3;]
    ];
    chars of printing = tochars(s[0]:v + s[1]:v + s[2]:v);
    bill(printing);
}",No Syntax Error,No Syntax Error,TRUE
9,"start(){
    piece of i = 65;
    repeat(i <= 69){
        bill(tochars(i) + "" "");
        i += 1;
    }
}",No Syntax Error,No Syntax Error,TRUE
10,"start(){
    piece of n = 5, f = 1;
    repeat(n > 0){
        f *= n;
        n -= 1;
    }
    bill(tochars(f));
}",No Syntax Error,No Syntax Error,TRUE
11,"start(){
    piece of n = 121, t = n, r = 0;
    repeat(t != 0){
        r = r * 10 + t % 10;
        t /= 10;
    }
    bill(tochars(r == n));
}",No Syntax Error,No Syntax Error,TRUE
12,"start(){
    piece of x = 10;
    piece of p = x;
    bill(tochars(p + 5));
}",No Syntax Error,No Syntax Error,TRUE
13,"start(){
    piece of n = 13, c = 0;
    repeat(n > 0){
        c += n % 2;
        n /= 2;
    }
    bill(tochars(c));
}",No Syntax Error,No Syntax Error,TRUE
14,"table of A = [ piece of a; piece of b; ];
prepare piece of sum(A of x){
    serve x:a + x:b;
}
start(){
    A of t = [a = 4; b = 6;];
    bill(tochars(sum(t)));
}",No Syntax Error,No Syntax Error,TRUE
15,"table of Dim = [ piece of w; ];
table of Box = [ Dim of d; ];
start(){
    Box of b = [d = [w = 15;];];
    bill(tochars(b:d:w + 5));
}",No Syntax Error,No Syntax Error,TRUE
16,"start(){
    piece of x = 7;
    check(x > 0){
        bill(tochars(x * x));
    } instead {
        bill(tochars(-x));
    }
}","Syntax Error: Unexpected '-' at line 6, col 22. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', '[', ')'.","Syntax Error: Unexpected '-' at line 6, col 22. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', '[', ')'.",TRUE
17,"table of Item = [ piece of id; ];
start(){
    Item[] of list = [[id=10;], [id=20;]];
    bill(tochars(list[1]:id));
}",No Syntax Error,No Syntax Error,TRUE
18,"start(){
    piece[] of a = [1, 2, 3];
    piece of i = 2;
    repeat(i >= 0){
        bill(tochars(a[i]) + "" "");
        i -= 1;
    }
}",No Syntax Error,No Syntax Error,TRUE
19,"table of T = [ piece of v; ];
start(){
    T of a = [v = 5;], b = [v = 8;];
    bill(tochars(a:v < b:v));
}",No Syntax Error,No Syntax Error,TRUE
20,"table of Node = [ piece of v; ];
start(){
    Node[] of nodes = [[v=1;], [v=2;], [v=3;]];
    bill(tochars(size(nodes)));
}",No Syntax Error,No Syntax Error,TRUE
21,"start(){
    pass(piece of i = 0; i += 3; i > 0){
        serve i;
    }
}","Syntax Error: Unexpected 'piece' at line 2, col 10. Expected 'id'.","Syntax Error: Unexpected 'piece' at line 2, col 10. Expected 'id'.",TRUE
22,"piece[][] of grid = [1, 2];

start(){
    serve grid[0][0];
}",No Syntax Error,No Syntax Error,TRUE
23,"start(){
    piece of x = 0;
    order{
        x += 1;
    } repeat x < 5;
    serve x;
}","Syntax Error: Unexpected 'id' at line 5, col 14. Expected (.","Syntax Error: Unexpected 'id' at line 5, col 14. Expected (.",TRUE
24,"piece of x = 5;

start(){
    piece of x = topiece(rand() * 3) + 1;
    chars of s = copy(""CompilerDesign"", 0, 8);
    serve x * size(s);
}",No Syntax Error,No Syntax Error,TRUE
25,"start(){
    serve 0;
}
piece of x = 3;","Syntax Error: Unexpected token 'piece' after start platter, Expected EOF (line 4, col 1)","Syntax Error: Unexpected token 'piece' after start platter, Expected EOF (line 4, col 1)",TRUE
26,"start(){
    repeat(not x < 5){
        serve x;
    }
}",No Syntax Error,No Syntax Error,TRUE
